Gene,TTA
NIMBDPOJ_03655 hypothetical protein,4
NIMBDPOJ_04522 hypothetical protein,4
NIMBDPOJ_00524 hypothetical protein,3
NIMBDPOJ_02916 hypothetical protein,3
NIMBDPOJ_03462 hypothetical protein,3
NIMBDPOJ_03968 hypothetical protein,3
NIMBDPOJ_00421 hypothetical protein,2
NIMBDPOJ_00608 hypothetical protein,2
"NIMBDPOJ_02311 Selenide, water dikinase",2
NIMBDPOJ_02343 hypothetical protein,2
NIMBDPOJ_02578 hypothetical protein,2
NIMBDPOJ_03157 hypothetical protein,2
NIMBDPOJ_03558 hypothetical protein,2
NIMBDPOJ_04300 hypothetical protein,2
NIMBDPOJ_04307 hypothetical protein,2
NIMBDPOJ_04475 HTH-type transcriptional regulator HdfR,2
NIMBDPOJ_04850 hypothetical protein,2
NIMBDPOJ_05685 hypothetical protein,2
"NIMBDPOJ_05844 Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit",2
NIMBDPOJ_00124 L-Ala-D/L-Glu epimerase,1
NIMBDPOJ_00179 hypothetical protein,1
NIMBDPOJ_00233 hypothetical protein,1
NIMBDPOJ_00246 Ribosomal RNA small subunit methyltransferase H,1
NIMBDPOJ_00258 hypothetical protein,1
NIMBDPOJ_00272 hypothetical protein,1
NIMBDPOJ_00386 hypothetical protein,1
NIMBDPOJ_00422 IS110 family transposase ISEc21,1
NIMBDPOJ_00424 hypothetical protein,1
NIMBDPOJ_00425 hypothetical protein,1
NIMBDPOJ_00462 1-deoxy-D-xylulose-5-phosphate synthase,1
NIMBDPOJ_00499 5'-nucleotidase SurE,1
NIMBDPOJ_00510 Serine--tRNA ligase,1
NIMBDPOJ_00527 Serine/threonine-protein kinase PknD,1
NIMBDPOJ_00529 7-cyano-7-deazaguanine synthase,1
NIMBDPOJ_00557 hypothetical protein,1
NIMBDPOJ_00736 Siroheme synthase,1
NIMBDPOJ_00793 hypothetical protein,1
NIMBDPOJ_00864 Serine/threonine-protein kinase PknD,1
NIMBDPOJ_00893 Homoserine kinase,1
NIMBDPOJ_00932 Endonuclease 8 1,1
NIMBDPOJ_00962 hypothetical protein,1
NIMBDPOJ_00967 lipid kinase YegS,1
NIMBDPOJ_01071 Putative glutaredoxin.1,1
NIMBDPOJ_01072 Mitomycin radical oxidase,1
NIMBDPOJ_01076 hypothetical protein,1
NIMBDPOJ_01103 Chaperone protein HscA,1
NIMBDPOJ_01156 hypothetical protein,1
NIMBDPOJ_01161 Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK,1
NIMBDPOJ_01195 hypothetical protein,1
NIMBDPOJ_01322 hypothetical protein,1
NIMBDPOJ_01343 hypothetical protein,1
NIMBDPOJ_01348 hypothetical protein,1
NIMBDPOJ_01356 hypothetical protein,1
NIMBDPOJ_01498 hypothetical protein,1
NIMBDPOJ_01522 hypothetical protein,1
NIMBDPOJ_01542 hypothetical protein,1
NIMBDPOJ_01543 hypothetical protein,1
NIMBDPOJ_01546 hypothetical protein,1
NIMBDPOJ_01548 hypothetical protein,1
"NIMBDPOJ_01602 1,4-dihydroxy-2-naphthoate octaprenyltransferase",1
NIMBDPOJ_01640 hypothetical protein,1
NIMBDPOJ_01652 tRNA(Ile)-lysidine synthase,1
NIMBDPOJ_01681 Serine/threonine-protein kinase PknD,1
NIMBDPOJ_01695 putative protein YpbG,1
NIMBDPOJ_01762 hypothetical protein,1
NIMBDPOJ_01766 hypothetical protein,1
NIMBDPOJ_01776 hypothetical protein,1
NIMBDPOJ_01860 2-haloacrylate reductase,1
NIMBDPOJ_01921 hypothetical protein,1
NIMBDPOJ_01952 hypothetical protein,1
NIMBDPOJ_01997 FHA domain-containing protein FhaB,1
NIMBDPOJ_02020 ECF RNA polymerase sigma factor SigW,1
NIMBDPOJ_02051 hypothetical protein,1
NIMBDPOJ_02121 hypothetical protein,1
NIMBDPOJ_02152 hypothetical protein,1
NIMBDPOJ_02158 hypothetical protein,1
NIMBDPOJ_02159 hypothetical protein,1
NIMBDPOJ_02290 hypothetical protein,1
NIMBDPOJ_02292 hypothetical protein,1
NIMBDPOJ_02298 hypothetical protein,1
NIMBDPOJ_02309 hypothetical protein,1
NIMBDPOJ_02316 hypothetical protein,1
NIMBDPOJ_02326 hypothetical protein,1
NIMBDPOJ_02328 hypothetical protein,1
